ts_code,trade_date,open,high,low,close,pct_chg,vol,cci,cci_sum,max_falling_rating,SLOP,ANGLE,stoch,ema,ema_upper,ema_lower,envelope,envelope_shift,quantityrelativeratio,cci_status,envelope_days
001965.SZ,20220525,7.19,7.44,7.16,7.37,2.2191,87508.99,39.5,-23.9,0.1,0.0,0.4,0.3,7.4,8.1,6.7,0,0.0,1.9,wait,56
002978.SZ,20220525,31.65,32.16,31.01,31.7,-0.5958,13535.81,-64.9,801.1,0.2,0.0,2.5,0.5,32.6,35.9,29.4,0,0.0,0.6,wait,14
002531.SZ,20220525,12.58,13.0,12.13,12.79,1.3471,643133.74,88.1,1360.1,0.3,0.3,18.1,0.9,11.5,12.7,10.4,1,1.0,0.6,wait,4
002080.SZ,20220525,21.8,22.1,21.35,21.92,0.5966,127001.34,17.7,1167.1,0.2,0.1,7.3,0.8,21.7,23.8,19.5,0,0.0,0.6,wait,17
002027.SZ,20220525,5.48,5.61,5.46,5.6,2.1898,853903.88,-137.5,233.8,0.1,-0.0,-0.7,0.6,5.7,6.3,5.1,0,0.0,0.5,wait,17
002001.SZ,20220525,20.5,20.78,20.31,20.64,0.6338,214385.02,-73.4,-637.4,0.2,-0.1,-4.2,0.2,21.7,23.9,19.5,0,0.0,0.5,wait,5
000935.SZ,20220525,20.09,20.7,20.02,20.44,1.4392,35849.63,33.7,1037.5,0.2,0.1,5.2,0.9,19.7,21.6,17.7,0,0.0,0.6,wait,16
000877.SZ,20220525,11.85,11.95,11.69,11.91,0.5063,80563.56,-178.3,-216.4,0.1,-0.0,-2.4,0.3,12.3,13.5,11.0,0,0.0,0.6,wait,17
000785.SZ,20220525,4.0,4.15,4.0,4.13,3.25,106081.78,77.8,876.7,0.2,0.0,1.1,0.4,4.1,4.5,3.6,0,0.0,0.7,wait,16
000776.SZ,20220525,16.5,16.67,16.34,16.64,0.7264,357999.65,68.8,1011.1,0.1,0.1,7.8,0.8,16.2,17.9,14.6,0,0.0,0.4,wait,16
603977.SH,20220525,8.27,8.46,8.25,8.36,0.6017,71886.08,-81.2,706.3,0.2,0.0,0.7,0.5,8.5,9.4,7.7,0,0.0,0.8,wait,17
603568.SH,20220525,28.64,28.74,27.46,27.83,-2.4536,45818.08,21.0,922.5,0.2,0.1,3.9,0.8,27.3,30.0,24.5,0,0.0,1.4,wait,17
603260.SH,20220525,98.0,99.2,94.18,96.4,-3.0669,126732.5,89.3,1345.8,0.3,2.3,66.6,0.9,89.5,98.5,80.6,0,1.0,0.7,wait,0
603258.SH,20220525,19.29,20.01,19.25,19.86,3.2225,13832.02,42.3,-296.7,0.2,0.0,1.9,0.2,20.4,22.5,18.4,0,0.0,0.7,wait,9
601919.SH,20220525,15.24,15.38,15.03,15.19,1.6054,1325874.68,141.8,289.0,0.1,0.1,7.6,1.0,14.6,16.1,13.2,0,0.0,0.8,wait,17
601918.SH,20220525,5.14,5.36,5.08,5.34,4.2969,724744.27,124.8,878.1,0.2,0.1,4.5,1.0,5.0,5.4,4.5,0,0.0,0.9,wait,16
601717.SH,20220525,11.83,12.23,11.7,12.2,2.8668,131606.48,-30.0,411.3,0.1,-0.0,-1.5,0.9,12.1,13.3,10.9,0,0.0,0.7,wait,17
601512.SH,20220525,8.84,8.89,8.72,8.87,0.9101,40415.83,-174.3,489.3,0.1,-0.0,-2.6,0.6,9.0,9.9,8.1,0,0.0,0.7,wait,28
601377.SH,20220525,6.1,6.14,6.09,6.12,0.3279,406721.95,-123.3,-71.2,0.1,0.0,0.1,0.0,6.4,7.0,5.7,0,0.0,0.7,wait,12
601101.SH,20220525,8.52,8.86,8.44,8.81,3.5253,337988.97,111.2,823.1,0.2,0.1,5.8,0.7,8.5,9.3,7.6,0,0.0,0.8,wait,8
600989.SH,20220525,14.52,14.7,14.2,14.49,-0.2066,200782.71,19.3,944.3,0.2,0.0,2.6,0.9,14.4,15.8,12.9,0,0.0,0.7,wait,17
600596.SH,20220525,17.99,18.11,17.55,17.96,0.0557,355862.03,-2.6,803.6,0.1,0.1,4.3,0.5,18.1,19.9,16.3,0,0.0,0.5,wait,17
600426.SH,20220525,28.5,29.83,28.26,29.52,4.4956,329143.37,-103.5,86.3,0.1,-0.1,-7.8,0.5,30.4,33.4,27.4,0,0.0,1.8,wait,17
600176.SH,20220525,15.6209,15.747,15.4948,15.65,0.1863,220241.62,-9.3,826.7,0.1,0.0,0.7,0.8,15.5,17.1,14.0,0,0.0,0.6,wait,56
600030.SH,20220525,19.25,19.44,19.21,19.31,0.3638,433263.43,0.8,644.4,0.1,0.0,2.0,0.6,19.5,21.4,17.5,0,0.0,0.5,wait,56
601636.SH,20220525,11.65,11.75,11.42,11.69,0.2573,350023.38,68.3,1045.0,0.1,0.1,8.0,0.8,11.3,12.5,10.2,0,0.0,0.7,wait,17
002818.SZ,20220525,11.44,11.78,11.44,11.7,2.0942,29004.68,-116.1,312.5,0.1,-0.0,-0.9,0.7,11.6,12.8,10.5,0,0.0,0.9,wait,56
002677.SZ,20220525,13.42,13.5,13.3,13.45,0.2983,21260.0,-108.4,311.0,0.1,-0.0,-0.4,0.7,13.5,14.8,12.1,0,0.0,0.6,wait,56
002315.SZ,20220525,14.3,14.43,14.13,14.38,0.6298,51357.94,-166.3,301.4,0.3,-0.1,-7.5,0.6,14.8,16.3,13.3,0,0.0,0.3,wait,4
603882.SH,20220525,81.72,82.69,80.5,81.45,-0.4157,18758.36,-85.5,-179.2,0.3,-0.4,-19.5,0.7,81.3,89.4,73.1,0,0.0,0.4,wait,12
002466.SZ,20220525,96.5,98.5,93.55,97.52,1.1618,647229.02,100.1,1243.0,0.4,2.4,67.7,1.0,84.8,93.3,76.4,1,1.0,0.7,wait,6
600010.SH,20220525,2.05,2.07,2.01,2.03,-0.9756,7460855.38,120.7,804.2,0.1,0.0,1.7,0.8,2.0,2.2,1.8,0,0.0,0.9,wait,12
600170.SH,20220525,3.0,3.05,2.99,3.04,1.3333,480463.64,-100.2,-87.5,0.1,-0.0,-1.1,0.3,3.1,3.4,2.8,0,0.0,0.7,wait,56
600282.SH,20220525,3.16,3.2,3.15,3.2,1.2658,266120.75,-33.0,-401.5,0.1,0.0,0.1,0.3,3.2,3.6,2.9,0,0.0,0.6,wait,56
000629.SZ,20220525,3.28,3.32,3.25,3.3,0.304,467669.62,56.1,1128.6,0.2,0.0,1.3,0.7,3.3,3.6,3.0,0,0.0,0.7,wait,15
000630.SZ,20220525,3.16,3.22,3.15,3.2,0.9464,1487944.62,38.5,-183.4,0.1,0.0,0.8,0.2,3.3,3.6,3.0,0,0.0,0.5,wait,17
600219.SH,20220525,3.37,3.45,3.37,3.41,0.59,987883.43,57.9,970.8,0.1,0.0,1.6,0.7,3.4,3.7,3.1,0,0.0,0.7,wait,11
002392.SZ,20220525,3.39,3.49,3.38,3.48,2.0528,97833.0,-24.1,693.7,0.2,0.0,0.4,0.3,3.6,3.9,3.2,0,0.0,0.6,wait,12
601618.SH,20220525,3.41,3.49,3.39,3.49,2.346,767986.98,-43.9,71.8,0.1,0.0,0.1,0.8,3.5,3.9,3.2,0,0.0,0.9,wait,17
000725.SZ,20220525,3.84,3.89,3.83,3.88,1.0417,1705079.28,49.1,810.1,0.1,0.0,0.5,0.7,3.9,4.3,3.5,0,0.0,0.5,wait,17
000656.SZ,20220525,3.17,3.21,3.08,3.19,0.0,2242027.42,-167.6,-1109.7,0.3,-0.1,-6.8,0.0,3.9,4.3,3.5,-1,-1.0,0.5,wait,3
000552.SZ,20220525,4.06,4.27,4.06,4.23,3.423,806810.1,73.5,952.7,0.3,0.0,1.2,1.0,4.0,4.4,3.6,0,0.0,0.8,wait,17
601003.SH,20220525,4.12,4.18,4.1,4.16,0.4831,80896.8,-38.7,-65.5,0.3,0.0,0.3,0.0,4.4,4.9,4.0,0,0.0,0.6,wait,7
601016.SH,20220525,4.29,4.46,4.25,4.44,3.0162,671580.43,27.0,1059.1,0.2,0.0,1.2,0.9,4.3,4.8,3.9,0,0.0,0.7,wait,17
000035.SZ,20220525,4.33,4.47,4.3,4.42,1.6092,101730.25,53.2,931.1,0.1,0.0,0.8,0.9,4.4,4.8,4.0,0,0.0,0.8,wait,12
002084.SZ,20220525,3.7,3.78,3.69,3.78,2.1622,63728.51,-87.5,654.5,0.2,-0.0,-2.8,0.4,3.9,4.3,3.5,0,0.0,0.4,wait,7
000959.SZ,20220525,4.29,4.39,4.28,4.38,1.3889,203466.08,5.8,-121.7,0.2,0.0,0.4,0.1,4.6,5.0,4.1,0,0.0,0.5,wait,8
002641.SZ,20220525,4.47,4.57,4.47,4.53,0.4435,78825.0,-2.3,541.1,0.2,0.0,1.1,0.8,4.5,5.0,4.1,0,0.0,0.6,wait,15
603993.SH,20220525,4.61,4.75,4.59,4.71,3.7445,1649450.18,116.3,191.9,0.1,0.0,1.8,0.6,4.7,5.1,4.2,0,0.0,1.0,wait,15
002602.SZ,20220525,4.51,4.62,4.5,4.61,2.4444,413068.12,-14.9,73.0,0.1,0.0,0.2,0.3,4.8,5.2,4.3,0,0.0,0.7,wait,11
601600.SH,20220525,4.92,5.01,4.9,4.97,0.8114,1614426.11,76.0,598.4,0.2,0.1,4.4,0.7,4.9,5.4,4.4,0,0.0,0.6,wait,10
002272.SZ,20220525,4.6,4.78,4.59,4.77,3.0238,50179.01,80.4,1045.4,0.2,0.0,2.0,0.9,4.6,5.1,4.2,0,0.0,0.9,wait,15
600496.SH,20220525,4.2,4.34,4.2,4.33,2.8504,236014.2,-189.3,357.7,0.2,-0.0,-1.8,0.6,4.4,4.9,4.0,0,0.0,0.8,wait,17
002085.SZ,20220525,4.69,4.91,4.69,4.89,3.1646,162370.28,60.5,894.4,0.3,0.0,1.2,1.0,4.6,5.0,4.1,0,0.0,0.7,wait,2
600577.SH,20220525,4.61,4.73,4.54,4.69,0.8602,416159.52,-58.3,1050.9,0.2,-0.0,-0.1,0.7,4.7,5.2,4.2,0,0.0,0.6,wait,15
002390.SZ,20220525,4.62,4.8,4.59,4.78,3.2397,188219.93,-16.8,82.2,0.1,-0.0,-0.4,0.8,4.8,5.3,4.3,0,0.0,0.7,wait,15
600210.SH,20220525,5.58,5.7,5.31,5.55,-5.4514,1790160.39,85.4,1329.0,0.3,0.1,7.2,0.8,5.2,5.7,4.7,0,1.0,2.2,wait,0
600986.SH,20220525,4.81,5.08,4.79,5.05,4.5549,497328.76,47.9,505.2,0.2,0.0,1.0,0.8,5.1,5.6,4.5,0,0.0,0.9,wait,15
002314.SZ,20220525,4.35,4.63,4.32,4.63,5.467,756016.88,-78.4,749.5,0.2,-0.0,-2.8,0.7,4.6,5.1,4.2,0,0.0,0.6,wait,18
002839.SZ,20220525,4.79,4.87,4.73,4.87,1.8828,325241.75,-127.8,-685.4,0.1,-0.0,-0.9,0.2,5.0,5.5,4.5,0,0.0,0.9,wait,31
002627.SZ,20220525,5.37,5.52,5.3,5.48,1.107,231003.08,128.4,1107.9,0.2,0.1,4.4,0.9,5.2,5.7,4.7,0,0.0,0.7,wait,10
000425.SZ,20220525,5.18,5.27,5.16,5.27,1.7375,492467.71,114.2,1002.3,0.1,0.0,1.3,1.0,5.1,5.6,4.6,0,0.0,1.0,wait,56
600901.SH,20220525,5.12,5.2,5.12,5.19,1.3672,147652.43,-6.1,775.4,0.1,0.0,0.5,0.8,5.1,5.6,4.6,0,0.0,0.7,wait,56
002697.SZ,20220525,4.63,4.73,4.62,4.7,1.5119,159787.09,-182.9,330.1,0.1,-0.0,-2.8,0.1,4.9,5.4,4.4,0,0.0,0.5,wait,27
000598.SZ,20220525,4.96,5.12,4.96,5.11,2.8169,210498.62,-88.4,271.1,0.1,-0.0,-0.7,0.9,5.1,5.6,4.6,0,0.0,1.2,wait,56
002517.SZ,20220525,5.27,5.4,5.23,5.36,1.5152,340085.75,84.1,1024.5,0.3,0.0,2.0,1.0,5.1,5.6,4.6,0,0.0,0.8,wait,11
600398.SH,20220525,4.96,5.01,4.94,5.0,1.0101,82472.01,-182.1,-161.6,0.1,-0.0,-0.8,0.3,5.1,5.6,4.6,0,0.0,0.5,wait,56
603323.SH,20220525,4.87,4.98,4.86,4.97,2.0534,194537.66,-119.2,-1018.5,0.1,-0.0,-2.3,0.1,5.2,5.7,4.7,0,0.0,0.7,wait,31
601658.SH,20220525,5.23,5.32,5.22,5.29,1.1472,1003983.86,25.1,-909.6,0.1,-0.0,-0.1,0.3,5.3,5.9,4.8,0,0.0,0.6,wait,56
002822.SZ,20220525,5.17,5.68,5.14,5.68,10.0775,266514.44,135.2,740.6,0.2,0.0,1.4,1.0,5.4,6.0,4.9,0,0.0,0.7,wait,12
600642.SH,20220525,5.33,5.53,5.32,5.53,3.7523,136221.69,-23.0,256.7,0.1,-0.0,-0.6,0.8,5.5,6.1,5.0,0,0.0,1.1,wait,17
000825.SZ,20220525,5.48,5.56,5.47,5.55,0.9091,283214.06,-7.0,-340.5,0.2,0.0,0.7,0.1,5.8,6.3,5.2,0,0.0,0.4,wait,10
002563.SZ,20220525,5.48,5.56,5.46,5.54,0.7273,59971.93,-113.0,-621.5,0.1,-0.0,-1.0,0.0,5.7,6.3,5.1,0,0.0,0.5,wait,56
600908.SH,20220525,5.45,5.5,5.41,5.49,1.105,124205.0,-142.9,-640.4,0.1,-0.0,-1.6,0.1,5.6,6.2,5.1,0,0.0,0.7,wait,56
600248.SH,20220525,5.0,5.2,4.98,5.19,3.8,425618.17,-128.0,74.6,0.2,-0.1,-4.4,0.4,5.4,5.9,4.9,0,0.0,0.8,wait,18
600581.SH,20220525,5.62,5.76,5.59,5.72,1.5986,425184.16,-6.7,250.7,0.2,0.0,1.3,0.3,5.9,6.5,5.3,0,0.0,0.5,wait,10
600662.SH,20220525,5.48,5.73,5.44,5.7,4.3956,83119.11,-67.2,509.7,0.2,-0.0,-1.3,0.7,5.7,6.3,5.1,0,0.0,0.9,wait,15
002283.SZ,20220525,5.92,6.14,5.88,6.12,3.3784,111999.71,56.6,1033.7,0.2,0.0,2.5,0.9,6.0,6.6,5.4,0,0.0,0.7,wait,12
000012.SZ,20220525,5.97,6.02,5.89,6.02,1.5177,374083.6,23.5,1000.7,0.1,0.0,1.7,0.8,6.1,6.7,5.5,0,0.0,0.6,wait,12
000728.SZ,20220525,5.58,5.62,5.56,5.61,0.5376,164464.14,-97.8,-56.8,0.2,-0.0,-0.0,0.0,5.9,6.5,5.3,0,0.0,0.6,wait,9
601515.SH,20220525,4.34,4.4,4.3,4.4,1.3825,141889.62,-123.9,-239.1,0.2,-0.0,-0.3,0.1,4.6,5.1,4.1,0,0.0,0.6,wait,10
603601.SH,20220525,5.71,5.79,5.69,5.74,0.7018,17952.75,-114.9,749.8,0.2,-0.0,-0.7,0.7,5.8,6.4,5.2,0,0.0,0.4,wait,15
000069.SZ,20220525,5.63,5.65,5.56,5.63,0.1779,583356.09,-97.9,-227.2,0.2,-0.0,-1.4,0.1,6.0,6.6,5.4,0,0.0,0.7,wait,8
600586.SH,20220525,6.31,6.42,6.2,6.39,2.7331,217988.7,76.3,1110.3,0.2,0.1,4.0,0.8,6.2,6.9,5.6,0,0.0,0.8,wait,11
601668.SH,20220525,5.63,5.66,5.6,5.65,0.8929,1892788.8,-153.6,-760.9,0.1,-0.0,-1.8,0.1,5.8,6.4,5.2,0,0.0,0.7,wait,28
600643.SH,20220525,5.87,5.98,5.87,5.97,1.7036,74406.59,-74.0,545.7,0.1,-0.0,-0.4,0.5,6.0,6.6,5.4,0,0.0,0.9,wait,56
600820.SH,20220525,5.62,5.82,5.59,5.77,3.777,460641.89,-96.8,202.0,0.2,-0.0,-2.2,0.7,5.7,6.3,5.2,0,0.0,0.8,wait,56
002097.SZ,20220525,5.97,6.15,5.96,6.12,2.3411,55128.36,13.4,80.6,0.2,0.0,0.2,0.3,6.3,6.9,5.7,0,0.0,0.6,wait,10
000059.SZ,20220525,6.03,6.18,5.98,6.15,2.3295,81001.62,39.1,751.6,0.1,0.0,0.7,0.6,6.1,6.7,5.5,0,0.0,0.7,wait,56
002010.SZ,20220525,5.99,6.28,5.97,6.22,3.8397,197443.6,34.5,590.2,0.1,0.0,0.8,0.9,6.2,6.8,5.5,0,0.0,0.9,wait,18
002966.SZ,20220525,5.88,5.93,5.88,5.92,0.5093,120086.83,-114.9,-1060.9,0.1,-0.0,-1.9,0.0,6.1,6.8,5.5,0,0.0,0.5,wait,56
002533.SZ,20220525,6.27,6.45,6.27,6.44,2.0602,64993.0,52.6,1102.0,0.2,0.0,2.4,0.9,6.2,6.9,5.6,0,0.0,0.6,wait,17
002765.SZ,20220525,7.0,7.19,6.92,7.19,4.3541,122819.64,73.5,1288.2,0.3,0.1,7.4,0.9,6.6,7.2,5.9,0,0.0,0.6,wait,1
600019.SH,20220525,6.31,6.42,6.3,6.33,0.1582,507944.89,60.6,249.4,0.1,0.0,2.3,0.4,6.4,7.0,5.7,0,0.0,0.5,wait,56
600018.SH,20220525,5.95,6.25,5.93,6.23,4.7059,665545.95,22.3,41.8,0.1,-0.0,-1.1,0.7,6.1,6.7,5.5,0,0.0,1.5,wait,56
600728.SH,20220525,5.94,6.14,5.94,6.12,3.0303,115349.04,-124.2,559.4,0.1,-0.0,-1.3,0.6,6.2,6.9,5.6,0,0.0,0.5,wait,15
600409.SH,20220525,6.58,6.83,6.56,6.79,2.4133,262989.89,69.6,901.0,0.2,0.0,2.8,0.6,6.7,7.4,6.0,0,0.0,0.7,wait,10
600516.SH,20220525,6.9,6.98,6.85,6.94,0.4342,458569.13,-28.2,862.9,0.1,0.0,1.3,0.5,7.1,7.8,6.4,0,0.0,0.6,wait,12
002117.SZ,20220525,7.05,7.15,7.04,7.14,0.9901,38005.44,59.5,878.3,0.1,0.0,1.7,0.9,7.1,7.8,6.4,0,0.0,0.5,wait,15
601985.SH,20220525,7.0,7.15,6.97,7.15,1.9971,1058524.9,41.3,-56.0,0.1,0.0,0.4,0.3,7.2,7.9,6.4,0,0.0,0.8,wait,56
601827.SH,20220525,6.77,6.86,6.71,6.86,1.7804,33906.8,31.9,860.8,0.1,0.0,0.5,0.8,6.8,7.5,6.2,0,0.0,0.7,wait,17
600489.SH,20220525,7.08,7.23,7.07,7.13,1.4225,316536.87,98.3,243.1,0.1,0.0,0.8,0.4,7.2,7.9,6.5,0,0.0,1.1,wait,15
000925.SZ,20220525,6.86,7.07,6.85,7.07,3.0612,66033.37,-99.7,661.6,0.2,-0.0,-0.2,0.5,7.3,8.0,6.5,0,0.0,0.7,wait,11
600997.SH,20220525,7.27,7.5,7.25,7.46,2.7548,280041.69,106.2,250.8,0.2,0.1,3.7,0.6,7.3,8.0,6.6,0,0.0,0.8,wait,16
601669.SH,20220525,7.19,7.88,7.15,7.75,7.3407,2611184.77,96.9,-82.0,0.1,0.1,4.2,1.0,7.4,8.1,6.6,0,0.0,1.1,wait,56
600012.SH,20220525,7.15,7.33,7.12,7.32,2.6648,60544.98,47.7,400.1,0.1,0.0,0.3,0.7,7.3,8.0,6.5,0,0.0,1.1,wait,56
002054.SZ,20220525,7.42,7.56,7.42,7.56,1.6129,25897.93,78.7,1062.0,0.1,0.0,2.1,0.9,7.4,8.2,6.7,0,0.0,0.8,wait,15
600984.SH,20220525,7.19,7.37,7.13,7.31,1.669,78811.85,-43.7,923.9,0.1,-0.0,-0.4,0.7,7.5,8.2,6.7,0,0.0,0.5,wait,15
600971.SH,20220525,7.2595,7.4375,7.1846,7.4,1.5423,303939.86,95.3,460.7,0.1,0.1,5.2,0.9,7.1,7.8,6.4,0,0.0,1.0,wait,17
600556.SH,20220525,7.18,7.65,7.09,7.53,5.3147,278579.92,11.1,364.4,0.2,0.0,0.2,0.8,7.5,8.3,6.8,0,0.0,1.3,wait,15
002092.SZ,20220525,7.33,7.43,7.3,7.4,0.6803,321834.91,-40.8,651.2,0.1,0.0,0.6,0.5,7.6,8.4,6.9,0,0.0,0.6,wait,11
600966.SH,20220525,7.1,7.23,7.1,7.22,1.8336,44335.63,-124.5,118.0,0.2,-0.0,-2.1,0.6,7.5,8.3,6.8,0,0.0,0.6,wait,12
601686.SH,20220525,7.35,7.53,7.35,7.52,1.6216,41402.47,-154.9,589.9,0.2,-0.0,-0.4,0.7,7.6,8.4,6.9,0,0.0,1.1,wait,15
601963.SH,20220525,7.58,7.64,7.56,7.64,0.6588,33345.63,-40.9,237.0,0.1,0.0,0.0,0.1,7.8,8.6,7.0,0,0.0,0.6,wait,17
600737.SH,20220525,8.07,8.25,7.97,8.13,6.1358,670959.85,173.7,842.7,0.2,0.1,3.2,1.0,7.8,8.5,7.0,0,0.0,2.2,wait,15
002064.SZ,20220525,7.79,7.86,7.72,7.79,-0.1282,107521.53,9.7,735.0,0.1,0.0,0.9,0.6,7.9,8.7,7.1,0,0.0,0.6,wait,17
002171.SZ,20220525,7.98,8.05,7.87,8.04,1.9011,125397.58,43.4,1000.6,0.2,0.0,2.1,0.9,7.9,8.7,7.1,0,0.0,0.7,wait,12
600817.SH,20220525,9.75,11.17,9.14,11.17,10.0493,248308.87,199.9,1227.7,0.4,0.3,16.8,1.0,8.7,9.5,7.8,1,1.0,3.8,wait,2
600552.SH,20220525,8.9,9.38,8.78,9.23,6.214,497236.5,221.1,1117.6,0.3,0.1,7.0,1.0,8.4,9.2,7.5,1,0.0,2.7,wait,0
601369.SH,20220525,8.1,8.35,8.07,8.3,2.3428,55769.26,52.2,902.4,0.2,0.0,1.0,0.9,8.1,8.9,7.3,0,0.0,0.6,wait,16
600507.SH,20220525,8.11,8.17,8.07,8.17,0.7398,173768.22,-3.1,47.7,0.1,0.0,0.6,0.4,8.2,9.0,7.4,0,0.0,0.7,wait,56
600970.SH,20220525,7.94,8.36,7.83,8.34,5.5696,205643.55,-41.5,534.5,0.1,-0.0,-0.7,1.0,8.2,9.1,7.4,0,0.0,1.6,wait,15
000910.SZ,20220525,8.1,8.29,8.1,8.28,2.2222,30847.96,-45.0,-347.6,0.2,0.0,0.1,0.2,8.6,9.4,7.7,0,0.0,0.6,wait,11
600325.SH,20220525,6.96,7.03,6.82,6.95,-0.1437,398009.16,-74.7,531.0,0.2,-0.1,-3.6,0.5,7.1,7.8,6.4,0,0.0,0.5,wait,6
601186.SH,20220525,7.95,8.05,7.93,8.04,0.8783,517064.58,-144.2,-305.6,0.1,-0.0,-2.0,0.5,8.2,9.0,7.4,0,0.0,0.7,wait,56
002126.SZ,20220525,8.48,8.71,8.47,8.64,0.9346,95921.47,41.4,1115.4,0.1,0.0,2.1,0.9,8.5,9.3,7.6,0,0.0,0.6,wait,15
000703.SZ,20220525,8.8,9.05,8.75,9.01,2.5028,135995.16,120.3,1054.9,0.2,0.1,3.9,1.0,8.4,9.3,7.6,0,0.0,0.8,wait,17
